"n1" "n2" "spearman_rho" "spearman_p" "pearson_r" "pearson_p"
"A" "hozbu" "-0.0778850214016728" "0.830656258147154" "0.0590962493247015" "0.871177478248843"
"A" "uuqrl" "-0.0573294926219031" "0.875003098387735" "-0.173415226525363" "0.631857829249507"
"A" "vajxn" "0.449685534591195" "0.192258433547099" "0.591998019719994" "0.0713804932530704"
"A" "fmdso" "-0.0278671161404986" "0.939088000941167" "0.0244495719019312" "0.946548521412657"
"A" "mytri" "-0.0900690615745222" "0.80456452424255" "-0.0978677219704706" "0.787953132715191"
"A" "vqsmg" "-0.0654234179774052" "0.857497260398422" "0.0454324412665115" "0.900821418876697"
"A" "xlnud" "0.0810004222577397" "0.823969552305202" "-0.0545290250435823" "0.881071800964055"
"A" "ticit" "0.266458989493245" "0.456772409127949" "0.391470887881883" "0.263264836517658"
"A" "mtwtj" "0.0778850214016728" "0.830656258147154" "0.218962236101041" "0.543331471870429"
"A" "pvakm" "0.432604006471385" "0.211779082592485" "0.176288437473735" "0.626131716686658"
"A" "ayjih" "0.479294384571317" "0.161016073246399" "0.50151963563328" "0.139715143950144"
"A" "jnrvi" "0.322791275326629" "0.362980860936513" "0.245227165971483" "0.494677484563796"
"A" "zahna" "-0.0934620256820074" "0.797328363880007" "-0.0967741935483871" "0.790277897995412"
"A" "bdlhn" "-0.2671013550141" "0.455646413708946" "-0.231354397156263" "0.520141679273061"
"A" "mxqgd" "-0.0516300982134074" "0.887359741618483" "-0.109563718874179" "0.763185758392171"
"A" "wqffo" "0.465874456419943" "0.174769201790151" "0.264186473482154" "0.460765859866094"
"A" "xfnrd" "0.00943396226415094" "0.979365044116276" "-0.0293527409987127" "0.935846171985716"
"A" "degdc" "0.539434860712131" "0.107561280091349" "0.366352493949326" "0.297777859911514"
"A" "tmylp" "0.0350346899356075" "0.923455614722401" "-0.103106876601646" "0.776836240522732"
"A" "ehlvl" "0.744483199579316" "0.0135174151490396" "0.649473555615139" "0.0421206970379637"
"A" "clkfi" "-0.180138123149044" "0.618487711276851" "-0.279376727409571" "0.434371129429872"
"A" "lvuhd" "0.0866976946593288" "0.811767886982964" "0.229047402195062" "0.524427702818423"
"A" "gwxri" "-0.0345911949685535" "0.924422236912328" "0.0441711739923521" "0.90356385953555"
"A" "rmszd" "0.325116354972483" "0.359333882857926" "0.299810246679317" "0.400004323756083"
"A" "ljnwf" "0.0156253051847222" "0.965827988825248" "0.0282921941711945" "0.938160340544649"
